EventOnScroll,MSecForDownArrow,TimeOnVScroll,relevant,NumOfPageUp,TimeOnMouse,NumOfPageDown,ClickOnWindow,log_id,serverTimeVisit,MSecForPageUp,MSecForUpArrow,NumOfUpArrow,classes,MSecForPageDown,RSS_ID,readability,TimeOnHScroll,novelty,user_like,DOC_ID,TimeOnPage,TimeVisit,user_id,NumOfDownArrow,authority
0,0,0,4,0,1455,0,0,2401,2004-04-23 15:23,0,0,0,,0,2,1,0,5,4,279282,6109,2004-04-23 15:23,51,0,1
0,0,0,4,0,9673,0,0,2405,2004-04-23 15:25,0,0,0,,0,8,1,0,4,4,278354,68265,2004-04-23 15:25,51,0,1
0,0,0,4,0,1424,0,0,2409,2004-04-23 15:34,0,0,0,,0,8,1,0,5,4,276597,12610,2004-04-23 15:34,51,0,1
0,0,0,4,0,876,0,0,2411,2004-04-23 15:35,0,0,0,,0,6,1,0,4,4,278339,6641,2004-04-23 15:35,51,0,1
0,0,0,5,0,4613,0,0,2412,2004-04-23 15:37,0,0,0,,0,14,1,0,5,4,278386,77563,2004-04-23 15:37,51,0,1
0,0,0,3,0,6782,0,0,2413,2004-04-23 15:39,0,0,0,,0,10,1,0,5,5,278362,71563,2004-04-23 15:39,51,0,1
0,0,0,5,0,8813,0,0,2414,2004-04-23 15:39,0,0,0,,0,10,1,0,5,5,278362,159923,2004-04-23 15:39,51,0,1
0,0,0,5,0,11485,0,2,3360,2004-04-26 01:01,0,0,0,,0,2,1,0,5,4,281376,69078,2004-04-26 01:01,51,0,1
0,0,0,5,0,1860,0,1,3361,2004-04-26 01:06,0,0,0,|theatre,0,2,1,0,5,5,281377,157922,2004-04-26 01:06,51,0,1
0,0,0,5,0,2922,0,0,3362,2004-04-26 01:10,0,0,0,,0,2,1,0,5,4,281378,31094,2004-04-26 01:10,51,0,1
0,0,0,5,0,11152,0,0,3363,2004-04-26 01:14,0,0,0,,0,2,1,0,5,4,281379,95718,2004-04-26 01:14,51,0,1
0,0,0,5,0,6262,0,0,3365,2004-04-26 01:20,0,0,0,,0,2,1,0,5,5,281383,106548,2004-04-26 01:20,51,0,1
0,0,0,5,0,4921,0,0,3368,2004-04-26 01:30,0,0,0,,0,2,1,0,5,4,281380,48047,2004-04-26 01:30,51,0,1
0,0,0,5,0,4265,0,0,3383,2004-04-26 01:42,0,0,0,,0,3,1,0,5,4,281241,77016,2004-04-26 01:42,51,0,1
0,0,0,5,0,4678,0,0,3385,2004-04-26 01:43,0,0,0,,0,5,1,0,5,5,281400,38078,2004-04-26 01:43,51,0,1
0,0,0,5,0,3827,0,1,3389,2004-04-26 01:46,0,0,0,,0,5,1,0,5,4,280641,142718,2004-04-26 01:46,51,0,1
0,0,0,5,0,5561,0,0,3391,2004-04-26 01:47,0,0,0,,0,6,1,0,3,4,281402,38891,2004-04-26 01:47,51,0,1
0,0,0,5,0,7157,0,0,3394,2004-04-26 01:50,0,0,0,,0,8,1,0,5,4,281420,143391,2004-04-26 01:50,51,0,1
0,0,0,5,0,6027,0,0,3398,2004-04-26 01:55,0,0,0,|entertainment,0,8,1,0,5,4,281267,139452,2004-04-26 01:55,51,0,1
0,0,0,5,0,751,0,0,3400,2004-04-26 01:57,0,0,0,,0,8,1,0,4,3,281269,21656,2004-04-26 01:57,51,0,1
0,0,0,2,0,562,0,3,4215,2004-04-28 00:14,0,0,0,,0,2485,0,0,5,2,241812,16922,2004-04-28 00:14,51,0,1
0,0,0,3,0,3796,0,5,4216,2004-04-28 00:19,0,0,0,,0,2485,1,0,5,4,241827,125374,2004-04-28 00:19,51,0,0
0,0,0,4,0,3696,0,3,4219,2004-04-28 00:20,0,0,0,,0,2485,1,0,4,4,241830,28391,2004-04-28 00:20,51,0,1
0,0,0,5,0,905,0,1,4223,2004-04-28 00:23,0,0,0,,0,2,1,0,5,5,281490,56642,2004-04-28 00:23,51,0,1
0,0,0,4,0,4891,0,0,4472,2004-04-28 17:43,0,0,0,,0,943,1,0,5,3,288540,23344,2004-04-28 17:43,51,0,1
0,0,0,4,0,1624,0,0,4474,2004-04-28 17:45,0,0,0,,0,943,1,0,5,3,288554,6907,2004-04-28 17:45,51,0,1
0,0,0,4,0,4204,0,0,4477,2004-04-28 17:50,0,0,0,,0,8183,1,0,5,4,288833,92172,2004-04-28 17:50,51,0,1
0,0,0,4,0,6419,0,0,6010,2004-05-03 00:40,0,0,0,,0,8195,1,0,5,4,296380,77062,2004-05-03 00:40,51,0,1
0,0,0,4,0,8445,0,1,6011,2004-05-03 00:44,0,0,0,,0,8195,1,0,5,4,296381,46719,2004-05-03 00:44,51,0,1
0,0,0,4,0,469,0,1,6012,2004-05-03 00:47,0,0,0,,0,8195,1,0,5,4,296382,38124,2004-05-03 00:47,51,0,1
0,0,0,5,0,2548,0,0,6013,2004-05-03 00:47,0,0,0,,0,8195,1,0,5,4,296383,7485,2004-05-03 00:47,51,0,1
0,0,0,4,0,2328,0,0,6014,2004-05-03 00:53,0,0,0,,0,8195,1,0,5,4,296384,9296,2004-05-03 00:53,51,0,1
0,0,0,4,0,4472,0,0,6015,2004-05-03 00:54,0,0,0,,0,8195,1,0,5,5,296388,92484,2004-05-03 00:54,51,0,1
0,0,0,4,0,1062,0,1,6016,2004-05-03 01:01,0,0,0,,0,8199,1,0,5,3,294780,9592,2004-05-03 01:01,51,0,1
0,0,0,4,0,0,0,0,6017,2004-05-03 01:06,0,0,0,,0,8203,1,0,5,4,296270,593,2004-05-03 01:06,51,0,1
0,0,0,4,0,31,0,1,6018,2004-05-03 01:09,0,0,0,,0,8203,1,0,4,3,296271,22562,2004-05-03 01:09,51,0,1
0,0,0,4,0,1329,0,1,6019,2004-05-03 01:13,0,0,0,,0,8203,1,0,5,5,296272,133970,2004-05-03 01:13,51,0,1
0,0,0,4,0,2471,0,1,6020,2004-05-03 01:18,0,0,0,,0,8203,1,0,5,4,296273,26719,2004-05-03 01:18,51,0,1
0,0,0,4,0,0,0,0,6021,2004-05-03 01:19,0,0,0,,0,8203,1,0,5,4,296274,1110,2004-05-03 01:19,51,0,1
0,0,0,3,0,2642,0,0,6022,2004-05-03 01:19,0,0,0,,0,8203,1,0,5,3,296275,27391,2004-05-03 01:19,51,0,1
